Source Zipcode,Business Number,Housing Price
94103,1280,4250000.0
94107,1231,2120200.0
94109,967,5396714.285714285
94110,1358,1848320.3125
94112,586,1095013.6470588236
94114,791,2769569.4444444445
94115,729,3721875.0
94116,397,1443314.7692307692
94117,657,3369375.0
94118,688,4549676.923076923
94121,475,2786285.714285714
94122,638,1378125.5217391304
94124,593,903563.6785714285
94127,279,2017152.0
94131,326,2121225.806451613
94132,256,1428333.3333333333
94134,214,960730.3571428572
94301,9,8479258.064516129
94303,19,1447352.2727272727
94306,5,3240115.066666667
94401,22,1297657.3333333333
94402,15,2280192.533333333
94403,30,1750311.0571428572
94404,19,2003188.8
94501,37,1066187.8095238095
94502,5,1144044.105263158
94505,5,697472.717948718
94506,3,1590840.3181818181
94507,3,2045440.3181818181
94509,26,470380.7727272727
94510,7,729283.8095238095
94513,10,679967.9696969697
94517,1,1082582.4054054054
94518,5,777049.9318181818
94519,6,594238.9761904762
94520,27,533724.0454545454
94521,13,741998.4090909091
94523,8,908344.975
94526,6,1727949.5681818181
94530,15,916179.7297297297
94531,14,539934.0789473684
94536,16,1252618.0714285714
94538,14,1010860.2380952381
94539,12,1712958.9642857143
94541,20,698843.469879518
94542,6,1150421.1666666667
94544,34,756933.6666666666
94545,29,784688.2571428572
94546,17,924403.052631579
94547,10,752167.925
94549,12,2038477.9069767443
94550,11,1010649.9545454546
94551,18,907473.3076923077
94552,2,1238052.4193548388
94553,12,668951.6742424242
94555,4,1274143.6136363635
94556,8,1673647.2
94560,12,1013803.6285714286
94561,11,537541.6944444445
94563,2,1886090.4186046512
94564,9,614758.4146341464
94565,29,518414.008
94566,7,1580233.894736842
94568,7,1243649.4545454546
94572,9,558738.7777777778
94577,33,792283.3333333334
94578,20,701652.34375
94579,3,687599.4285714285
94580,10,654426.3888888889
94582,4,1232765.6875
94583,16,1235169.4186046512
94586,1,2474718.75
94587,17,972179.8181818182
94588,9,1377134.1136363635
94589,10,427933.6296296296
94590,15,475265.29411764705
94591,15,490756.2972972973
94595,3,1343298.625
94596,14,1438086.8260869565
94597,6,1131996.0689655172
94598,3,1343595.4545454546
94601,20,598192.3095238095
94602,13,831578.0930232558
94603,18,485027.8333333333
94605,17,653413.7073170731
94606,24,602541.9
94607,32,692656.5714285715
94608,33,820753.8857142857
94609,19,957304.6315789474
94610,24,1605608.9523809524
94611,16,1532609.756097561
94612,25,989000.0
94618,9,1684454.5454545454
94619,10,855530.7692307692
94621,17,471901.488372093
94702,8,1029081.375
94703,12,922250.4666666667
94704,14,1463000.0
94705,11,2058342.8163265307
94706,8,994592.5925925926
94707,4,1580250.0
94709,4,998000.0
94710,12,1528000.0
94801,15,786338.5277777778
94803,22,661493.7073170731
94804,32,528306.1025641026
94805,17,624887.2142857143
94806,41,513379.61363636365
94901,46,1767837.2093023255
94903,23,1310614.1025641025
94904,6,3545041.6666666665
94920,14,5419912.5
94924,2,3201666.6666666665
94925,4,1707150.0
94930,7,1072285.7142857143
94939,7,2070635.7142857143
94941,29,2260804.8780487804
94945,9,1286100.0
94946,1,2231000.0
94947,9,1087511.6046511629
94949,13,1361532.558139535
94960,12,1582257.8684210526
94965,16,3170894.736842105
95006,1,640645.0
95008,15,1538693.261904762
95014,4,2375260.8372093025
95030,1,4240839.204545454
95032,3,2685641.0454545454
95033,1,2046884.7391304348
95035,8,1243438.361111111
95037,8,1382843.6363636365
95050,11,1421841.7586206896
95051,8,1552587.09375
95054,14,1417659.1333333333
95110,8,935798.8
95111,4,855165.04
95112,15,1105784.52
95116,5,772930.5
95117,6,1416617.5
95118,4,1271957.0
95119,2,1027769.1
95120,1,1774053.261904762
95121,9,983721.71875
95122,4,759736.04
95123,10,1012950.3636363636
95124,2,1333448.0909090908
95125,7,1827743.8333333333
95126,3,1585096.0909090908
95127,5,928119.3636363636
95128,3,1182371.04
95129,3,1885117.0
95130,2,1373770.5454545454
95131,9,1219432.2142857143
95132,5,1216367.4736842106
95133,3,1102894.0
95135,1,1453919.5555555555
95136,1,1080080.5142857144
95138,4,2282896.806451613
95139,1,1001126.8571428572
95148,3,1172509.0
95304,1,937180.0
95391,3,608844.3673469388
